"out_object_name";"out_object_suffix";"out_application";"out_functionality";"in_object_name"
"OUT_EA_STORAGE_ACCOUNTS";"MV";"EA";"STORAGE_ACCOUNTS";"OUT_EA_STORAGE_ACCOUNTS_MV"
"OUT_LDD_CUSTOMER_ALIAS";"BK";"LDD";"CUSTOMER_ALIAS";"OUT_LDD_CUSTOMER_ALIAS_BK"
"OUT_STG_TE_CLGRP_HIERARCH_TREE";"TREE";"STG";"TE_CLGRP_HIERARCH_TREE";"OUT_STG_TE_CLGRP_HIERARCH_TREE"
"OUT_AML_BUSINESS_SEGMENT_1";"1";"AML";"BUSINESS_SEGMENT_1";"OUT_AML_BUSINESS_SEGMENT_1"
"OUT_AML_BUSINESS_SEGMENT_2";"2";"AML";"BUSINESS_SEGMENT_2";"OUT_AML_BUSINESS_SEGMENT_2"
"OUT_AML_CUSTOMER_DAILY";"DAILY";"AML";"CUSTOMER_DAILY";"OUT_AML_CUSTOMER_DAILY"
"OUT_SB_INACT_ACCOUNTS";"ACCOUNTS";"SB";"INACT_ACCOUNTS";"OUT_SB_INACT_ACCOUNTS"
"OUT_LDD_PRECACC_PROV_MONTH";"MONTH";"LDD";"PRECACC_PROV_MONTH";"OUT_LDD_PRECACC_PROV_MONTH"
"OUT_LDD_GL_ACCOUNT_TYPE_CC";"CC";"LDD";"GL_ACCOUNT_TYPE_CC";"OUT_LDD_GL_ACCOUNT_TYPE_CC"
"OUT_LDD_ORGUNIT";"ORGUNIT";"LDD";"ORGUNIT";"OUT_LDD_ORGUNIT"
"OUT_AML_ACCOUNT_DAILY_CNT";"CNT";"AML";"ACCOUNT_DAILY_CNT";"OUT_AML_ACCOUNT_DAILY_CNT"
"OUT_LDD_ACCOUNT";"ACCOUNT";"LDD";"ACCOUNT";"OUT_LDD_ACCOUNT"
"OUT_FMS_OVD_LIMITS_AUDIT";"AUDIT";"FMS";"OVD_LIMITS_AUDIT";"OUT_FMS_OVD_LIMITS_AUDIT"
"OUT_LDD_DEAL_CORR";"H";"LDD";"DEAL_CORR";"OUT_LDD_DEAL_CORR_H"
"OUT_SB_PT_INCOME_EXCLUSION";"EXCLUSION";"SB";"PT_INCOME_EXCLUSION";"OUT_SB_PT_INCOME_EXCLUSION"
"OUT_SCO_COLLATERAL";"COLLATERAL";"SCO";"COLLATERAL";"OUT_SCO_COLLATERAL"
"OUT_LDD_RWA_PROVISION";"PROVISION";"LDD";"RWA_PROVISION";"OUT_LDD_RWA_PROVISION"
"OUT_FMS_PARTY_FACTS";"FACTS";"FMS";"PARTY_FACTS";"OUT_FMS_PARTY_FACTS"
