"out_object_name";"out_object_suffix";"out_application";"out_functionality";"in_object_name"
"OUT_SCO_ACCOUNT";"ACCOUNT";"SCO";"ACCOUNT";"OUT_SCO_ACCOUNT"
"OUT_LGD_DEFAULT_ACCOUNTS";"ACCOUNTS";"LGD";"DEFAULT_ACCOUNTS";"OUT_LGD_DEFAULT_ACCOUNTS"
"OUT_LGD_DEF_ACCOUNT_STATUS";"STATUS";"LGD";"DEF_ACCOUNT_STATUS";"OUT_LGD_DEF_ACCOUNT_STATUS"
"OUT_NTF_OVD_WEEKLY";"WEEKLY";"NTF";"OVD_WEEKLY";"OUT_NTF_OVD_WEEKLY"
"OUT_LDD_INTEREST_GPM_CORR";"H";"LDD";"INTEREST_GPM_CORR";"OUT_LDD_INTEREST_GPM_CORR_H"
"OUT_LDD_CUSTOMER";"E";"LDD";"CUSTOMER";"OUT_LDD_CUSTOMER_E"
"OUT_LDD_CUSTOMER";"P";"LDD";"CUSTOMER";"OUT_LDD_CUSTOMER_P"
"OUT_LDD_REL_MANAGER";"MANAGER";"LDD";"REL_MANAGER";"OUT_LDD_REL_MANAGER"
"OUT_SCO_CUSTOMER";"CUSTOMER";"SCO";"CUSTOMER";"OUT_SCO_CUSTOMER"
"OUT_SB_PT_PACKAGE_EXCLUDED";"EXCLUDED";"SB";"PT_PACKAGE_EXCLUDED";"OUT_SB_PT_PACKAGE_EXCLUDED"
"OUT_LDD_COLL_DEAL_CORR";"CORR";"LDD";"COLL_DEAL_CORR";"OUT_LDD_COLL_DEAL_CORR"
"OUT_LDD_ACCOUNT_CORR";"H";"LDD";"ACCOUNT_CORR";"OUT_LDD_ACCOUNT_CORR_H"
"OUT_LDD_CUSTOMER_RATING";"RATING";"LDD";"CUSTOMER_RATING";"OUT_LDD_CUSTOMER_RATING"
"OUT_LDD_CUST_RATING_ORR";"ORR";"LDD";"CUST_RATING_ORR";"OUT_LDD_CUST_RATING_ORR"
"OUT_NE_APPROVAL_INPUT_STG1";"STG1";"NE";"APPROVAL_INPUT_STG1";"OUT_NE_APPROVAL_INPUT_STG1"
"OUT_NE_APPROVAL_INPUT_STG2";"STG2";"NE";"APPROVAL_INPUT_STG2";"OUT_NE_APPROVAL_INPUT_STG2"
"OUT_CQA_PARTIES";"PARTIES";"CQA";"PARTIES";"OUT_CQA_PARTIES"
"OUT_DYNAMIC_SQL";"SQL";"DYNAMIC";"SQL";"OUT_DYNAMIC_SQL"
"OUT_LDD_RESULT_DEAL_GDP";"GDP";"LDD";"RESULT_DEAL_GDP";"OUT_LDD_RESULT_DEAL_GDP"
"OUT_LDD_STG_RAT_LTV";"LTV";"LDD";"STG_RAT_LTV";"OUT_LDD_STG_RAT_LTV"
"OUT_LDD_CUSTOMER_REL";"REL";"LDD";"CUSTOMER_REL";"OUT_LDD_CUSTOMER_REL"
"OUT_SCO_FEE_GPM";"GPM";"SCO";"FEE_GPM";"OUT_SCO_FEE_GPM"
"OUT_LDD_RESULT_FEE_GDP";"GDP";"LDD";"RESULT_FEE_GDP";"OUT_LDD_RESULT_FEE_GDP"
"OUT_LDD_CUSTOMER_ALIAS";"ALIAS";"LDD";"CUSTOMER_ALIAS";"OUT_LDD_CUSTOMER_ALIAS"
"OUT_RICOS_PRODUCTS";"PRODUCTS";"RICOS";"PRODUCTS";"OUT_RICOS_PRODUCTS"
"OUT_LDD_DWH_DEALS_H_STG";"STG";"LDD";"DWH_DEALS_H_STG";"OUT_LDD_DWH_DEALS_H_STG"
"OUT_AML_ASSOCIATED_INFO_DAILY";"DAILY";"AML";"ASSOCIATED_INFO_DAILY";"OUT_AML_ASSOCIATED_INFO_DAILY"
"OUT_LDD_STG_DOM_INST_TYPE";"TYPE";"LDD";"STG_DOM_INST_TYPE";"OUT_LDD_STG_DOM_INST_TYPE"
"OUT_LDD_TREASURY";"TREASURY";"LDD";"TREASURY";"OUT_LDD_TREASURY"
"OUT_FB_PARTY_INDICATORS";"INDICATORS";"FB";"PARTY_INDICATORS";"OUT_FB_PARTY_INDICATORS"
"OUT_LDD_INTEREST_GPM";"GPM";"LDD";"INTEREST_GPM";"OUT_LDD_INTEREST_GPM"
"OUT_LGD_DEF_REGISTER";"H";"LGD";"DEF_REGISTER";"OUT_LGD_DEF_REGISTER_H"
"OUT_LDD_CUSTOMER_REL_CORR";"H";"LDD";"CUSTOMER_REL_CORR";"OUT_LDD_CUSTOMER_REL_CORR_H"
"OUT_QRM_MAIN";"MAIN";"QRM";"MAIN";"OUT_QRM_MAIN"
"OUT_LDD_COLL_ACCOUNT_CORR";"CORR";"LDD";"COLL_ACCOUNT_CORR";"OUT_LDD_COLL_ACCOUNT_CORR"
"OUT_LDD_ACCOUNT_CORR";"CORR";"LDD";"ACCOUNT_CORR";"OUT_LDD_ACCOUNT_CORR"
"OUT_LDD_DEAL";"DEAL";"LDD";"DEAL";"OUT_LDD_DEAL"
"OUT_LDD_RWA_COLLATERAL";"COLLATERAL";"LDD";"RWA_COLLATERAL";"OUT_LDD_RWA_COLLATERAL"
"OUT_LDD_FEE_CORR";"H";"LDD";"FEE_CORR";"OUT_LDD_FEE_CORR_H"
"OUT_LDD_NETTING_PRODUCTS";"PRODUCTS";"LDD";"NETTING_PRODUCTS";"OUT_LDD_NETTING_PRODUCTS"
"OUT_LDD_PRECACC_DUPL_DEALS";"DEALS";"LDD";"PRECACC_DUPL_DEALS";"OUT_LDD_PRECACC_DUPL_DEALS"
"OUT_AML_ACCOUNT_LOCAL_TYPE";"TYPE";"AML";"ACCOUNT_LOCAL_TYPE";"OUT_AML_ACCOUNT_LOCAL_TYPE"
"OUT_SB_COLLATERALS_EVAL";"EVAL";"SB";"COLLATERALS_EVAL";"OUT_SB_COLLATERALS_EVAL"
"OUT_LDD_DEAL_STG4_OTHERSYST";"OTHERSYST";"LDD";"DEAL_STG4_OTHERSYST";"OUT_LDD_DEAL_STG4_OTHERSYST"
"OUT_LDD_RWA_EXPOSURE";"EXPOSURE";"LDD";"RWA_EXPOSURE";"OUT_LDD_RWA_EXPOSURE"
"OUT_LDD_WORKOUT";"WORKOUT";"LDD";"WORKOUT";"OUT_LDD_WORKOUT"
"OUT_LDD_FEE_GPM";"BK";"LDD";"FEE_GPM";"OUT_LDD_FEE_GPM_BK"
"OUT_LDD_DOM_REPAYM_FREQ";"FREQ";"LDD";"DOM_REPAYM_FREQ";"OUT_LDD_DOM_REPAYM_FREQ"
"OUT_LDD_DEAL";"BK";"LDD";"DEAL";"OUT_LDD_DEAL_BK"
"OUT_LDD_REPAYMENT_STG";"STG";"LDD";"REPAYMENT_STG";"OUT_LDD_REPAYMENT_STG"
"OUT_LGD_DEF_ACCOUNT_COSTS";"H";"LGD";"DEF_ACCOUNT_COSTS";"OUT_LGD_DEF_ACCOUNT_COSTS_H"
"OUT_LDD_ADDS_GPM_CORR";"H";"LDD";"ADDS_GPM_CORR";"OUT_LDD_ADDS_GPM_CORR_H"
"OUT_LDD_CUSTOMER_GRC_REL";"REL";"LDD";"CUSTOMER_GRC_REL";"OUT_LDD_CUSTOMER_GRC_REL"
"OUT_LGD_DEF_ACCOUNT_PAYMENTS";"H";"LGD";"DEF_ACCOUNT_PAYMENTS";"OUT_LGD_DEF_ACCOUNT_PAYMENTS_H"
"OUT_SB_FIN_STATEMENTS_NOTIF";"NOTIF";"SB";"FIN_STATEMENTS_NOTIF";"OUT_SB_FIN_STATEMENTS_NOTIF"
"OUT_LDD_CUST_ACC2_STG1";"STG1";"LDD";"CUST_ACC2_STG1";"OUT_LDD_CUST_ACC2_STG1"
"OUT_LDD_CUSTOMER_RATING_CORR";"CORR";"LDD";"CUSTOMER_RATING_CORR";"OUT_LDD_CUSTOMER_RATING_CORR"
"OUT_LDD_CUSTOMER_RATING_STG1";"STG1";"LDD";"CUSTOMER_RATING_STG1";"OUT_LDD_CUSTOMER_RATING_STG1"
"OUT_LDD_PREC_ACC_LEVEL__CORR";"CORR";"LDD";"PREC_ACC_LEVEL__CORR";"OUT_LDD_PREC_ACC_LEVEL__CORR"
"OUT_FB_ACCOUNT_INDICATORS";"INDICATORS";"FB";"ACCOUNT_INDICATORS";"OUT_FB_ACCOUNT_INDICATORS"
"OUT_LDD_LOADSTAT";"LOADSTAT";"LDD";"LOADSTAT";"OUT_LDD_LOADSTAT"
"OUT_AML_SUMMARY";"SUMMARY";"AML";"SUMMARY";"OUT_AML_SUMMARY"
"OUT_PFM_TRANSACTIONS";"V";"PFM";"TRANSACTIONS";"OUT_PFM_TRANSACTIONS_V"
"OUT_NTF_WHC_CARD";"MV";"NTF";"WHC_CARD";"OUT_NTF_WHC_CARD_MV"
"OUT_LDD_FEE";"FEE";"LDD";"FEE";"OUT_LDD_FEE"
"OUT_LDD_TIL";"TIL";"LDD";"TIL";"OUT_LDD_TIL"
"OUT_LDD_CTRL_LOAD_NOTIFICATION";"NOTIFICATION";"LDD";"CTRL_LOAD_NOTIFICATION";"OUT_LDD_CTRL_LOAD_NOTIFICATION"
"OUT_LDD_PREC_ACC_LEVEL_SB";"SB";"LDD";"PREC_ACC_LEVEL_SB";"OUT_LDD_PREC_ACC_LEVEL_SB"
"OUT_LDD_PRECACC_RELEV_DEALS";"DEALS";"LDD";"PRECACC_RELEV_DEALS";"OUT_LDD_PRECACC_RELEV_DEALS"
"OUT_LDD_CUSTOMER_ALIAS_CORR";"H";"LDD";"CUSTOMER_ALIAS_CORR";"OUT_LDD_CUSTOMER_ALIAS_CORR_H"
"OUT_NTF_INSURANCE_POLICIES";"POLICIES";"NTF";"INSURANCE_POLICIES";"OUT_NTF_INSURANCE_POLICIES"
"OUT_LDD_DOMAINS";"DOMAINS";"LDD";"DOMAINS";"OUT_LDD_DOMAINS"
"OUT_LDD_CUSTOMER_GRC_RE_CORR";"H";"LDD";"CUSTOMER_GRC_RE_CORR";"OUT_LDD_CUSTOMER_GRC_RE_CORR_H"
"OUT_LDD_INTEREST_GPM_CORR";"CORR";"LDD";"INTEREST_GPM_CORR";"OUT_LDD_INTEREST_GPM_CORR"
"OUT_AML_TRANSACTION_DAILY";"DAILY";"AML";"TRANSACTION_DAILY";"OUT_AML_TRANSACTION_DAILY"
"OUT_LDD_DEAL_OT_OP_RES_HC";"HC";"LDD";"DEAL_OT_OP_RES_HC";"OUT_LDD_DEAL_OT_OP_RES_HC"
"OUT_LDD_DEAL_STG6_DEFVAL";"DEFVAL";"LDD";"DEAL_STG6_DEFVAL";"OUT_LDD_DEAL_STG6_DEFVAL"
"OUT_LDD_TVL_VALUE_CC";"CC";"LDD";"TVL_VALUE_CC";"OUT_LDD_TVL_VALUE_CC"
"OUT_LDD_COLL_ACCOUNT";"ACCOUNT";"LDD";"COLL_ACCOUNT";"OUT_LDD_COLL_ACCOUNT"
"OUT_LDD_DEAL_CORR";"CORR";"LDD";"DEAL_CORR";"OUT_LDD_DEAL_CORR"
"OUT_LDD_DEAL_EXCH";"EXCH";"LDD";"DEAL_EXCH";"OUT_LDD_DEAL_EXCH"
"OUT_LDD_DEAL_SECU";"SECU";"LDD";"DEAL_SECU";"OUT_LDD_DEAL_SECU"
"OUT_LDD_DEAL_STG1";"STG1";"LDD";"DEAL_STG1";"OUT_LDD_DEAL_STG1"
"OUT_LDD_DEAL_STG2";"STG2";"LDD";"DEAL_STG2";"OUT_LDD_DEAL_STG2"
"OUT_LDD_DEAL_STG3";"STG3";"LDD";"DEAL_STG3";"OUT_LDD_DEAL_STG3"
"OUT_LDD_DEAL_STG4";"STG4";"LDD";"DEAL_STG4";"OUT_LDD_DEAL_STG4"
"OUT_LDD_RESULT_ABC";"ABC";"LDD";"RESULT_ABC";"OUT_LDD_RESULT_ABC"
"OUT_LDD_RESULT_FEE";"FEE";"LDD";"RESULT_FEE";"OUT_LDD_RESULT_FEE"
